ああ あゝ
やく ≒
やじるし ←
やじるし ↑
やじるし →
やじるし ↓
やじるし ⇒
やじるし ⇔
やすこ ＊（うかんむり+必+用）子
やすのり ＊（米へん＋攵）軌
やまかっこ 〈
やまかっこ 〉
やまかっこ 《
やまかっこ 》
やまがっこ 〈
やまがっこ 〉
やまがっこ 《
やまがっこ 》
やー Я
ゆうびん 〒
ゆうびんばんごう 〒
ゆえに ∴
ゆぷしろん Υ
ゆぷしろん υ
よこ ─
よこ ━
よこせん ─
よこせん ━
よって ∴
らむだ Λ
らむだ λ
りょうや ⇔
るん ♪
るーと √
れい 〇
れんげん ∧
ろすい ＊（草かんむり＋慮）水
ろー Ρ
ろー ρ
わしゅうごう ∪
わらい （笑）
わる ÷
